 ,min translation,max translation,min TR-to-TR translation,max TR-to-TR translation,mean TR-to-TR translation,STD TR-to-TR translation,min rotation,max rotation,min TR-to-TR rotation,max TR-to-TR rotation,mean TR-to-TR rotation,STD TR-to-TR rotation,max displacement,mean displacement,STD displacement,max TR-to-TR displacement,mean TR-to-TR displacement,STD TR-to-TR displacement,TR-to-TR displacement exceed threshold,


Subject 01
Run 1,-0.104904,0.176928,-0.113991,0.122148,-0.000204,0.032630,-0.006615,0.011142,-0.003093,0.001374,0.000054,0.000524,1.059317,0.566993,0.253803,0.268678,0.052060,0.041460,0.000000,
Run 2,-0.322939,0.454423,-0.245528,0.195764,-0.000343,0.050328,-0.003200,0.004490,-0.002124,0.002928,0.000006,0.000513,1.484859,0.878083,0.293571,0.423825,0.063831,0.057876,1.000000,
Run 3,-0.122903,0.153877,-0.180052,0.112841,-0.000042,0.034299,-0.003664,0.004770,-0.001532,0.001725,0.000017,0.000372,0.965441,0.687214,0.231871,0.309014,0.051599,0.045466,0.000000,
Run 4,-0.316240,0.437968,-0.221729,0.141277,0.000814,0.040013,-0.008030,0.003479,-0.006080,0.000986,-0.000038,0.000679,1.310093,0.821586,0.306847,0.543587,0.058834,0.070554,2.000000,
Run 5,-0.263900,0.357260,-0.209219,0.121875,0.000713,0.036040,-0.008648,0.010019,-0.003133,0.001599,0.000040,0.000607,0.994455,0.517755,0.195105,0.279986,0.052004,0.043522,0.000000,
Run 6,-0.304050,0.446480,-0.131463,0.072678,0.002375,0.029175,-0.008714,0.010540,-0.002996,0.001431,0.000060,0.000598,1.675899,0.882773,0.525833,0.291512,0.055501,0.040847,0.000000,


Subject 02
Run 1,-0.128199,0.209453,-0.118300,0.071481,-0.000617,0.019075,-0.005653,0.010182,-0.001710,0.003459,0.000028,0.000453,0.978396,0.490623,0.184002,0.316425,0.051003,0.044454,0.000000,
Run 2,-0.650563,0.425105,-0.419239,0.168815,-0.000726,0.045171,-0.004794,0.006162,-0.003243,0.001892,0.000008,0.000528,1.417594,0.594685,0.353850,0.439133,0.067314,0.057116,1.000000,
Run 3,-0.115050,0.244894,-0.152873,0.131112,-0.001904,0.025408,-0.001444,0.002721,-0.000938,0.001023,0.000012,0.000245,0.355858,0.266089,0.040945,0.226147,0.034327,0.029440,0.000000,
Run 4,-0.133502,0.242004,-0.080318,0.061263,0.001187,0.018266,-0.004731,0.009005,-0.000960,0.001128,0.000049,0.000236,1.147892,0.633697,0.245664,0.230904,0.039686,0.032795,0.000000,
Run 5,-0.203605,0.252482,-0.159422,0.125797,-0.002120,0.025694,-0.003718,0.005449,-0.001476,0.002498,0.000032,0.000407,0.809244,0.477571,0.186363,0.341607,0.047809,0.044459,0.000000,
Run 6,-0.110436,0.174686,-0.285123,0.074565,-0.000866,0.023590,-0.002874,0.001474,-0.000899,0.000603,0.000020,0.000221,0.413136,0.279527,0.051570,0.307714,0.036873,0.029604,0.000000,


Subject 03
Run 1,-0.399609,0.653029,-0.223636,0.176274,0.003584,0.031971,-0.005374,0.006397,-0.004257,0.001462,0.000031,0.000470,1.144911,0.592763,0.352128,0.410606,0.048278,0.048847,1.000000,
